PLAYER,TEAM,AGE,WEIGHT,LEAGUE,HEIGHT,,,,,,,,,,
andrew wiggins,GSW,27,197,NBA,79,,,,,,,,,,
chris paul,PHX,37,175,NBA,73,,,,,,,,,,
darius garland,CLE,22,192,NBA,73,,,,,,,,,,
demar derozan,CHI,32,220,NBA,78,,,,,,,,,,
dejounte murray,SAS,25,180,NBA,76,,,,,,,,,,
devin booker,PHX,25,206,NBA,77,,,,,,,,,,
fred vanvleet,TOR,28,197,NBA,73,,,,,,,,,,
giannis antetokounmpo,MIL,27,242,NBA,83,,,,,,,,,,
ja morant,MEM,22,174,NBA,75,,,,,,,,,,
jarrett allen,CLE,24,243,NBA,82,,,,,,,,,,
jayson tatum,BOS,24,210,NBA,80,,,,,,,,,,
jimmy butler,MIA,32,230,NBA,79,,,,,,,,,,
joel embiid,PHI,28,280,NBA,85,,,,,,,,,,
karl-anthony towns,MIN,26,248,NBA,83,,,,,,,,,,
khris middleton,MIL,30,222,NBA,79,,,,,,,,,,
lamelo ball,CHA,20,180,NBA,79,,,,,,,,,,
lebron james,LAL,37,250,NBA,81,,,,,,,,,,
luka doncic,DAL,23,230,NBA,79,,,,,,,,,,
nikola jokic,DEN,27,284,NBA,83,,,,,,,,,,
rudy gobert,UTA,30,258,NBA,85,,,,,,,,,,
stephen curry,GSW,34,185,NBA,74,,,,,,,,,,
trae young,ATL,23,164,NBA,73,,,,,,,,,,
zach lavine,CHI,27,200,NBA,77,,,,,,,,,,
sabrina ionescu,NYL,24,165,WNBA,71,,,,,,,,,,
jonquel jones,CON,28,215,WNBA,78,,,,,,,,,,
candace parker,CHI,36,184,WNBA,76,,,,,,,,,,
ariel atkins,WAS,26,167,WNBA,68,,,,,,,,,,
kahleah copper,CHI,27,165,WNBA,73,,,,,,,,,,
rhyne howard,ATL,22,175,WNBA,74,,,,,,,,,,
courtney vandersloot,CHI,33,137,WNBA,68,,,,,,,,,,
natasha howard,NYL,30,165,WNBA,74,,,,,,,,,,
brionna jones,CON,26,210,WNBA,75,,,,,,,,,,
emma meesseman,CHI,29,191,WNBA,76,,,,,,,,,,
alyssa thomas,CON,30,190,WNBA,74,,,,,,,,,,
sue bird,SEA,41,150,WNBA,69,,,,,,,,,,
kelsey plum,LVA,28,145,WNBA,68,,,,,,,,,,
jackie young,LVA,24,165,WNBA,73,,,,,,,,,,
breanna stewart,SEA,27,170,WNBA,76,,,,,,,,,,
nneka ogwumike,LAS,32,174,WNBA,74,,,,,,,,,,
a'ja wilson,LVA,26,195,WNBA,76,,,,,,,,,,
sylvia fowles,MIN,36,219,WNBA,78,,,,,,,,,,
skylar diggins-smith,PHO,32,145,WNBA,69,,,,,,,,,,
jewell loyd,SEA,28,148,WNBA,70,,,,,,,,,,
arike ogunbowale,DAL,25,165,WNBA,68,,,,,,,,,,
dearica hamby,LVA,28,189,WNBA,75,,,,,,,,,,
